id,name,salary,dob,join_date,performance,remarks,sector
40,SXtmWa,70767.15,1958-01-06,2020-04-01,,Promising,Education
41,uak,136403.76,1987-03-15,2010-03-24,2.63,Needs improvement,Manufacturing
42,jAMvYLnyVv,unknown,1955-08-10,2004-07-01,1.31,,Education
43,lhIpDwS,85596.18,1991-06-12,2019-12-21,2.32,—,Finance
44,EKxigWB,120741.17,1995-08-01,2004-11-15,1.98,Promising,Healthcare
45,BsTtCOEvr,37432.27,1995-03-10,2019-12-01,2.98,,Manufacturing
46,dHSBrg,62600.97,2013-01-26,2007-03-21,1.79,Needs improvement,Manufacturing
47,JTPFd,132202.73,1991-04-01,2020-09-25,4.07,Unreliable,Retail
48,WpXDXP,124706.64,1986-11-01,2021-09-14,,Unreliable,Manufacturing
49,AHIJRVts,41151.03,1952-12-20,2017-06-23,4.11,Team player,Finance
50,FEeqnejy,72241.94,,2006-04-08,1.46,Good worker,IT
51,rBaU,,1977-05-06,2009-07-31,2.21,—,Retail
52,dGwoQTBMw,76673.09,2003-07-11,2005-10-25,2.67,Leadership potential,IT
53,eTAMhzieJ,110928.66,1973-03-02,2009-12-30,2.46,Needs improvement,
54,lDJMRujg,54344.69,1999-08-21,2013-07-13,3.45,—,
55,pswH,51462.07,1965-06-16,2011-04-07,4.21,—,Retail
56,JenvV,62896.32,1992-03-07,2021-05-16,4.06,Needs improvement,Finance
57,dAZwTOh,128613.59,2013-08-28,2004-03-26,2.23,,Finance
58,,96481.04,1983-08-25,2006-05-11,3.81,Good worker,Healthcare
59,luFFow,76029.76,1999-10-30,2006-08-17,2.71,—,Healthcare
60,ggyzkR,,2005-10-06,2021-04-16,4.28,Good worker,
61,sdJxkfAUF,148351.69,,2024-03-28,4.91,,Finance
62,rFubZYUqA,123663.65,1966-05-17,2017-05-11,4.47,Promising,Retail
63,YiYmeTWFM,35415.62,invalid_date,2023-10-06,2.41,Team player,Education
64,drD,,2017-12-10,2001-09-10,2.94,—,Finance
65,,33098.31,2007-12-29,unknown_date,2.29,Unreliable,Healthcare
66,KVPcdKzPWI,73778.17,2009-08-28,2006-01-07,4.13,Promising,Healthcare
67,xNx,77007.67,1974-06-13,2008-07-22,,,Manufacturing
68,SMiIrHiDc,51907.45,1974-03-09,2002-04-25,,Needs improvement,Retail
69,BGzu,87766.85,1974-09-30,2000-03-16,2.75,Leadership potential,Finance
70,qnHfqn,102783.07,1976-10-04,2000-07-12,4.04,,IT
71,RYIUr,142151.4,2002-05-15,2002-09-17,1.22,Promising,
72,ARQOiiuCW,129457.3,1986-04-14,2015-07-14,1.8,Leadership potential,Retail
73,wMdVvNyp,38656.67,1970-02-10,unknown_date,1.34,,Manufacturing
74,JHsfOpnYv,113326.05,1986-12-12,2008-07-26,3.14,Unreliable,Retail
75,Utu,48036.91,2005-08-16,2007-08-01,4.84,Team player,Education
76,CkCHvIZI,84557.01,1980-11-07,unknown_date,,Leadership potential,Retail
77,zzFYBmIcb,100988.29,2008-12-28,2014-12-25,3.99,,Retail
78,asPMaDC,73056.2,invalid_date,2000-11-21,1.02,Good worker,
79,Zvwqooo,124801.4,1992-11-06,2015-01-07,3.75,,Finance
80,GiJ,,1986-04-06,2005-10-19,,,Finance
81,nMY,33113.57,2002-01-29,,3.4,—,Retail
82,odwlWIdD,113611.69,1960-11-10,unknown_date,2.95,Needs improvement,Retail
83,BJHqCZyXe,unknown,1981-04-29,2018-03-24,3.81,Promising,Finance
84,alEdvOqETN,35109.43,1990-09-22,2004-06-12,3.59,Team player,Manufacturing
85,cZColJOu,unknown,1982-12-21,2002-04-10,1.71,Unreliable,
86,PSx,95632.29,1983-01-15,2003-06-11,4.59,Promising,
87,HkNSmsxMb,143411.54,2001-01-08,2000-07-05,,Promising,
88,fdsZVFO,57592.71,2017-11-22,unknown_date,1.84,Good worker,
89,OcmKv,,1960-05-16,2001-02-07,,Leadership potential,
90,YkUahGOpdP,,1953-07-23,2019-09-09,2.57,Team player,Finance
91,PVXLb,unknown,1995-01-03,,1.97,Leadership potential,Finance
92,roMmSbA,138101.91,2006-03-05,2009-02-06,3.62,Good worker,Finance
93,JozJzLaW,121969.19,1958-03-03,2014-06-17,3.59,Good worker,Education
94,OKgeuaM,123673.54,,unknown_date,3.53,Promising,IT
95,dfDPSSic,55324.08,1984-06-17,2022-02-12,2.44,Promising,
96,UEAJq,,,2018-03-21,1.5,Unreliable,Finance
97,Eonrj,unknown,1976-04-04,2006-01-31,,Team player,Healthcare
98,cOUtbGF,148244.91,1959-09-15,2003-12-28,4.8,Unreliable,Healthcare
99,rLnbHuzrkb,49930.56,2006-11-27,2012-11-29,excellent,Team player,Manufacturing
100,MFhIds,116686.77,2011-09-22,2019-06-27,4.18,Good worker,Healthcare
101,CvwJo,92366.38,,2002-01-05,1.13,Unreliable,IT
102,pFXNnKDULK,82225.96,1955-10-14,,2.41,Needs improvement,
103,QfyGpTE,77648.26,1952-07-23,2005-07-07,2.58,Team player,Manufacturing
104,,54935.55,1981-05-03,2020-10-17,3.94,—,Education
105,eYVyKXlod,114898.19,1971-08-06,2002-04-25,4.77,Leadership potential,Finance
106,,121670.45,1990-03-09,2010-07-16,4.31,—,Manufacturing
107,UQw,88262.96,1999-07-16,2022-04-29,2.57,Team player,IT
108,mBkYV,103737.4,,2023-12-12,1.76,,Manufacturing
109,kRirI,51215.3,1999-02-04,,2.8,Good worker,Education
110,CMpFHu,62258.31,1968-09-24,2013-04-28,4.35,Team player,
111,TJE,106836.55,2008-08-31,2003-02-01,,Promising,Healthcare
112,,139596.66,1954-04-16,2004-05-10,1.54,,IT
113,pqhJXAhZe,58966.05,2001-08-18,2017-08-03,2.7,Promising,Education
114,HIkyO,41906.07,1989-04-13,2023-01-11,2.2,—,Retail
115,,48119.2,invalid_date,2023-04-20,3.42,Unreliable,Retail
116,MeIOHOl,34217.48,2002-12-28,2006-07-17,1.03,Team player,Finance
117,pQUhVNu,49732.83,1991-11-16,2019-08-05,2.1,,Education
118,vqynogm,65334.48,1996-02-15,,excellent,Good worker,Education
119,FJJgEHoZy,101955.58,1994-05-08,2023-03-21,2.58,,IT
120,,38200.58,1969-11-17,2023-03-05,poor,Good worker,
121,qMAmS,146741.8,1971-04-09,2006-04-21,average,,Retail
122,GBronl,69914.9,1984-08-14,2021-11-24,3.64,Unreliable,Healthcare
123,AIssxZlz,38390.11,1952-09-09,2019-05-29,4.4,—,IT
124,oFqBXpZ,125309.93,1981-02-11,2004-11-13,1.87,—,Manufacturing
125,IqGObzPm,129365.06,2014-02-23,2019-06-24,3.09,Leadership potential,Finance
126,hXo,31800.46,1993-09-06,,3.05,,Retail
127,DxsE,96617.82,1989-11-16,2017-12-26,4.09,—,Manufacturing
128,iSfd,56346.68,2005-02-28,2010-01-30,3.63,Unreliable,Manufacturing
129,JhsQ,135155.04,1950-04-18,2006-06-24,1.23,Team player,
130,reBBD,75948.02,invalid_date,2009-08-26,1.23,,Education
131,DOgp,,1994-08-21,,2.83,Needs improvement,Finance
132,,unknown,1992-05-09,2001-08-24,2.1,Leadership potential,Education
133,wFY,107130.26,2000-01-08,2018-04-08,1.2,Good worker,IT
134,wLrfxplyOG,72069.48,2017-03-24,2001-09-21,1.23,Unreliable,Healthcare
135,CQFeBVb,,1981-12-26,2018-03-05,1.2,—,Education
136,NeVoUJkAho,146759.47,1996-01-08,2023-06-29,3.43,Team player,Healthcare
137,KZSEhdE,112368.39,1999-12-23,,1.37,Leadership potential,Finance
138,LjuMkyaOwI,46454.98,1955-01-22,2000-07-13,excellent,Needs improvement,Manufacturing
139,BRR,106989.38,2017-08-27,2000-01-05,,,Healthcare
140,rrhEazq,101585.81,1991-11-09,2021-02-06,3.4,,Education
141,djHOc,51593.71,,2014-10-21,2.16,,Manufacturing
142,kwW,138238.9,1951-04-19,2011-05-14,1.03,,Education
143,dlekHnyg,42201.36,2006-08-14,2015-02-21,3.68,,IT
144,iip,54617.26,1967-12-02,2013-07-09,,Needs improvement,Manufacturing
145,iUcuxVUK,104776.06,2017-01-31,2006-11-15,,—,Finance
146,Jss,44387.51,,2008-07-20,1.12,,Healthcare
147,sVfUTHhDK,118422.77,1979-04-03,2023-03-22,1.25,Promising,Manufacturing
148,lnmzFIDQQ,96492.98,1951-11-11,2015-10-22,4.97,Good worker,Retail
149,zAJeoiJCcJ,61109.32,1993-08-23,2006-02-08,1.73,Leadership potential,Finance
150,YfM,36617.51,1950-01-02,2008-09-15,3.95,Needs improvement,Manufacturing
151,CrEyqrjl,88918.4,2007-09-30,2009-02-27,1.68,Good worker,Manufacturing
152,mLG,142260.97,1970-06-11,2014-09-13,2.35,,Finance
153,dSjHMi,124428.53,2006-02-23,2024-06-01,,,Healthcare
154,WgjgVqwobX,88263.22,1951-03-30,2015-03-13,,,Retail
155,TyLD,102348.55,2017-06-01,2008-12-30,2.75,Needs improvement,Retail
156,JhtvpoNq,,1954-04-07,2002-05-20,1.89,Promising,Manufacturing
157,,105933.04,2003-11-14,2001-05-16,4.0,,Manufacturing
158,mZSGXA,,1955-01-29,2001-04-17,3.29,,Manufacturing
159,GfPS,61846.0,1969-12-31,2014-12-01,3.5,Team player,Healthcare
160,CNMP,109284.87,2016-12-23,2010-04-09,4.54,—,Finance
161,DarWsSniA,110221.23,1963-08-08,2019-11-24,1.17,Leadership potential,
162,RuroBbeKn,126126.82,2004-07-16,2023-10-31,excellent,Needs improvement,Healthcare
163,ONL,30947.64,invalid_date,2023-06-17,1.53,—,Healthcare
164,TGaSzZn,98471.83,1951-01-07,2019-03-08,3.72,,Retail
165,uvY,129937.25,2000-11-24,2013-11-06,1.76,Team player,Finance
166,,66593.14,2003-07-27,2016-02-23,3.41,Team player,IT
167,INENtu,139420.27,1957-02-23,unknown_date,2.2,Needs improvement,
168,fZxH,118648.93,1999-04-03,2007-09-10,poor,Team player,
169,ejTnQPHrg,135829.71,1987-02-04,2005-05-06,3.23,Promising,Retail
170,AQFQ,40193.07,2012-12-19,2011-05-27,1.24,—,Manufacturing
171,ThVc,62453.92,2007-08-09,2022-02-20,4.7,—,Healthcare
172,PMYQZSg,111709.77,1966-10-23,2018-10-07,4.06,,IT
173,sBZ,65602.37,2005-12-29,2008-12-25,,Unreliable,
174,yyfkkE,43811.46,1999-11-20,2019-04-26,2.11,,Healthcare
175,pujwm,125751.48,2002-08-23,2001-12-13,3.87,,Finance
176,KCtEddf,,1966-08-25,2022-10-25,2.57,Unreliable,Education
177,XFFtvkpbW,,1976-07-20,2024-01-22,4.14,Team player,
178,thadGReIH,50354.72,1966-04-08,2012-05-10,3.47,,Manufacturing
179,pkMNhlFc,56717.08,2017-10-10,2005-08-09,1.92,Unreliable,Finance
180,,144879.76,1982-02-17,2011-08-20,3.41,,IT
181,bxYHDN,112607.04,2005-04-11,2015-07-10,,—,Retail
182,DTgdDBOmJ,59293.48,,2018-07-11,2.24,Promising,Retail
183,fAFIldjMe,135875.35,2004-06-25,2000-12-28,2.98,—,Finance
184,okbAuGPGkq,unknown,2014-10-20,2012-09-18,2.09,Leadership potential,Finance
185,xLo,37811.22,2000-06-25,2005-05-23,2.35,Good worker,Retail
186,Ixcuj,unknown,1980-10-01,2010-08-29,1.02,—,Education
187,lKPLEgvR,65859.13,2018-04-13,2011-08-03,1.14,Leadership potential,IT
188,SEkkhr,129894.68,2018-05-15,,3.35,Good worker,
189,hjgnxtJP,122220.36,2010-10-14,2002-10-15,4.64,Good worker,Manufacturing
190,,47802.72,1954-07-03,2012-06-10,1.22,,Retail
191,dyZmI,70045.22,1988-06-21,2017-11-28,1.38,Needs improvement,Education
192,ZUmHlMAJs,60096.33,2004-09-17,2015-07-21,2.23,Promising,IT
193,vxXACo,74485.57,2018-05-26,2007-11-26,1.9,—,Finance
194,rGHjk,99785.12,2000-09-04,2004-12-19,1.54,Leadership potential,
195,RNXZvts,90425.6,1997-07-21,2005-11-18,,Promising,Healthcare
196,nAQmnVFnhc,unknown,2006-04-03,2001-07-10,2.8,Good worker,
197,Amgp,111497.72,1991-12-03,2005-03-19,1.61,Unreliable,Finance
198,GnrrlsXIM,104441.27,invalid_date,unknown_date,3.09,Promising,IT
199,dTXFrX,50814.58,1975-08-07,2016-10-08,4.02,Unreliable,IT
200,AnuAU,134176.5,1981-08-19,2008-06-13,4.47,Good worker,Manufacturing
201,bSglE,,1981-10-17,2024-07-15,3.76,Good worker,Healthcare
202,muBUGYXi,140267.35,1990-10-20,2019-10-07,4.66,—,Retail
203,nqBQdwqa,39308.51,1953-12-29,,2.52,Good worker,Finance
204,DUjj,,2001-07-01,2023-01-13,3.87,Promising,
205,fHseKoWE,145845.62,2014-07-24,2016-01-02,1.22,Unreliable,
206,AdDYxEuest,91568.03,1999-03-24,2017-09-30,2.95,Promising,Education
207,wDCprWUh,56295.65,1984-01-13,2008-04-02,4.71,—,
208,PhDfHmts,96006.7,1966-08-29,2010-11-22,4.15,Leadership potential,Finance
209,RkaudDh,60088.82,2008-05-14,2012-05-09,1.4,Team player,Education
210,DtWrVbLtH,93992.97,1958-11-22,2016-09-20,3.7,Leadership potential,Education
211,bwT,85769.49,2004-06-09,2005-10-22,3.65,,IT
212,QAgVZqxTT,,1954-05-03,2003-06-23,2.51,—,IT
213,JlBAlEGLWn,,2016-12-15,2021-10-31,excellent,Team player,Finance
214,rnITzTsYpd,88000.99,1958-08-24,2017-07-30,1.1,Unreliable,
215,hWzqrKwWK,95190.85,2012-02-12,2010-08-07,,Leadership potential,IT
216,DYIileyAIC,103384.62,1990-05-20,2015-04-14,2.94,Promising,
217,EDsr,57820.33,1995-12-17,2004-06-10,2.99,Team player,Education
218,DuUM,80774.91,1955-10-25,2013-03-28,1.58,Promising,
219,fKpuFgyVcs,81933.67,1960-03-09,2006-09-07,4.93,Promising,Healthcare
220,jGRGDpKz,unknown,1998-02-21,2023-10-07,4.18,Leadership potential,Healthcare
221,wgTfYOEF,108157.87,1955-01-08,2010-02-19,2.84,Good worker,IT
222,PMtMkeEd,53455.91,2007-06-07,2017-02-21,1.99,Promising,Education
223,,36768.16,2015-01-27,2009-03-09,1.35,Team player,
224,hBdvjoTQ,54469.26,1962-11-16,2011-08-15,4.92,Promising,IT
225,cUnzUiWFa,47661.02,1962-05-23,2001-09-11,4.29,Unreliable,
226,DRNDxEq,unknown,1985-02-15,,4.88,Leadership potential,Healthcare
227,FFIPQQbE,35712.82,2005-08-13,2001-04-29,1.74,Leadership potential,
228,BjcFtIhTst,145299.22,2017-01-18,2018-06-20,4.09,Promising,IT
229,,75056.53,1960-02-27,2023-01-22,2.67,Needs improvement,IT
230,ptsCZoftk,79580.03,1991-08-25,2016-08-03,3.54,,Finance
231,TXLCnsqYTJ,120173.18,1971-07-28,2012-04-22,1.03,Team player,Manufacturing
232,lQXGKGDP,,invalid_date,2022-02-08,2.14,Leadership potential,
233,JNkwHlB,144808.13,2007-03-04,2009-09-06,3.76,Team player,Education
234,qMfoYTs,,2000-10-30,unknown_date,4.9,Team player,IT
235,qUfHmC,96193.65,1981-11-14,unknown_date,3.63,Leadership potential,Retail
236,xzPTMUUi,unknown,1999-05-19,unknown_date,1.11,—,Education
237,yIrm,124359.3,2001-02-04,2017-05-19,3.42,Needs improvement,Healthcare
238,JLxgmgZZxO,87802.31,1962-01-13,2009-05-18,,,
239,sZq,104834.5,2001-02-17,2004-11-21,4.24,,Retail
240,JAg,137528.23,1984-06-25,2017-01-23,3.41,Leadership potential,IT
241,wcV,69029.86,1959-12-06,,3.82,—,IT
242,,130208.61,1976-09-03,2013-05-13,3.65,—,
243,YWxDIZaQ,49311.78,2009-11-18,2017-05-05,1.06,Leadership potential,IT
244,zeIvOKVY,,1989-06-29,2020-05-25,2.51,,IT
245,XUqS,32551.59,2013-02-13,2006-07-29,4.41,,Retail
246,vafzYvAHPF,147024.61,1985-04-03,2011-03-16,2.14,,Healthcare
247,vLyMnZCWwn,135381.81,1981-05-04,2019-01-14,4.05,Unreliable,IT
248,amI,110531.94,2017-11-10,2022-03-28,1.92,,
249,fKDl,66032.61,1970-02-16,2012-10-15,3.94,Leadership potential,Finance
250,WAtkgiSVU,140489.84,1957-02-02,2014-11-05,4.79,Good worker,
251,KoxlCKpIT,40101.31,1958-04-16,2012-11-11,,,Healthcare
252,BkUcVtqJVl,129131.53,1953-08-25,2007-09-04,1.03,Promising,IT
253,gGOFaETz,89547.43,1983-12-11,2017-07-25,2.62,Good worker,Retail
254,yxxuTs,72838.42,1951-02-26,2003-07-11,1.21,—,IT
255,,unknown,1955-09-21,2001-12-25,1.04,Needs improvement,IT
256,ZoJ,123151.75,1964-11-25,2000-08-22,4.57,Needs improvement,Retail
257,Ouwn,69463.93,1970-07-13,,3.46,Team player,Healthcare
258,DpNw,unknown,1990-12-19,unknown_date,average,Unreliable,Retail
259,MQJWFBxtxB,60778.04,1993-04-03,2010-08-21,,,Finance
260,hXacnN,137210.02,2017-09-11,2005-09-14,2.54,Good worker,Finance
261,QLTcPx,104479.11,,2021-10-19,,Team player,
262,qmM,100750.73,2016-06-14,2003-03-24,poor,,IT
263,NyEoWDrqP,136477.69,1952-09-23,2010-10-01,1.64,,Education
264,bWkrHOFyb,123109.94,1969-01-03,2014-03-16,,,Education
265,RdWdEA,65837.53,1956-06-18,2008-01-20,4.69,Team player,
266,,69790.49,1982-04-06,unknown_date,3.24,,IT
267,rOuQlnFPs,141804.9,1992-08-02,2010-10-22,4.28,Leadership potential,Healthcare
268,xYqp,unknown,1956-01-23,unknown_date,1.01,Good worker,Education
269,tLhJ,140825.79,2012-12-21,2019-04-28,3.33,,Manufacturing
270,HnYZQwUNo,,1956-10-17,,2.56,Leadership potential,Education
271,HogwZjbe,105710.67,,2014-12-19,1.59,Promising,
272,sYV,58319.53,2000-02-19,2013-06-15,2.25,,IT
273,pzSAp,121191.93,1968-09-26,2005-01-02,3.32,,Education
274,fLwRifQdcn,108860.83,2001-10-27,2001-04-10,3.37,Team player,Retail
275,dImmVzE,122176.81,2001-08-31,2002-03-12,3.76,Promising,Finance
276,,119293.86,2004-10-10,2003-02-05,4.21,Promising,Education
277,URxnsU,96582.84,1975-12-09,2017-04-12,4.79,Promising,Healthcare
278,gckIp,51304.19,1966-05-15,2005-05-27,,Team player,IT
279,bxUZTjsT,78930.86,1963-11-13,2011-05-21,4.46,Promising,Manufacturing
280,IIQ,94267.8,1972-10-30,2013-12-01,,,IT
281,RNKN,,1963-03-07,2010-12-18,4.57,Needs improvement,IT
282,Ywnmv,143728.23,invalid_date,2022-08-09,3.9,Good worker,Healthcare
283,goyRuSgc,134264.87,1967-05-10,2023-10-15,,Leadership potential,Education
284,gzn,87167.16,1976-07-12,unknown_date,5.0,Leadership potential,Manufacturing
285,MusxsaF,37998.5,1999-11-21,2003-04-27,excellent,Needs improvement,Retail
286,ROsMztBj,36731.96,,2013-12-28,4.95,Promising,Retail
287,yLDphxjv,43227.8,1992-12-26,2022-08-24,4.79,Leadership potential,IT
288,kIn,113399.81,1980-01-12,2020-12-09,1.0,—,Education
289,lqMQIfs,103246.93,invalid_date,2002-07-09,4.84,Promising,Finance
290,dimnzpW,101202.96,1962-02-06,2001-09-16,4.66,Team player,Education
291,UABRXqRK,117773.12,2014-06-05,,average,,Education
292,iyXcD,117198.94,1984-05-13,2015-06-09,4.0,Promising,Finance
293,fsdwKYi,117726.08,2007-05-02,2001-04-03,1.87,,
294,TQzwXt,71179.39,1996-04-18,2008-07-10,2.33,Good worker,
295,vIeIxD,77308.91,2007-07-08,2023-10-28,4.28,—,
296,Zeh,,1953-11-04,2015-05-14,3.65,,IT
297,UhIySXyRVP,43617.41,1977-08-20,2001-12-02,2.87,Needs improvement,Healthcare
298,NFKKTXkaT,45687.58,1992-04-05,2006-10-13,1.43,Needs improvement,Finance
299,exgLLSJ,37082.25,1977-02-26,,2.89,Good worker,Retail
300,YPKgCnjqOM,,1974-05-30,2010-12-07,2.35,,IT
301,VOHVz,132127.96,2003-11-26,unknown_date,,,Manufacturing
302,UXcDwjAX,89136.33,,2001-09-22,4.65,Good worker,Healthcare
303,SueJcdcpl,97762.11,1997-09-29,2007-11-27,3.17,Unreliable,Retail
304,QoGwiNQxNC,45870.71,1998-01-16,2010-03-21,3.59,—,Education
305,JFv,138377.14,1961-07-18,2007-09-12,1.43,,
306,pAYyp,92120.62,1973-02-18,,1.59,Good worker,IT
307,rZfXuaC,,2017-07-20,2012-01-18,,Leadership potential,Finance
308,Cro,93433.26,1973-09-01,2019-01-30,2.15,Leadership potential,Finance
309,KGHmvZlbXT,127528.09,1989-03-24,2010-08-17,3.44,Leadership potential,Finance
310,lsRxztLW,119248.66,1967-12-18,2010-05-10,3.4,Unreliable,Finance
311,EKRRzXUuoX,unknown,1952-10-29,2021-01-17,3.6,Leadership potential,Retail
312,RnsY,,2016-04-23,2005-11-30,3.52,Needs improvement,Education
313,JeUYQjcs,77714.26,invalid_date,2012-06-05,1.5,Good worker,Healthcare
314,zfmrbSy,67811.83,2010-12-20,,3.6,Good worker,IT
315,YpMQCwk,84048.77,1954-04-23,2008-08-14,2.37,Leadership potential,Retail
316,xGkg,,1970-01-18,2015-11-03,1.77,Team player,
317,UGQXH,100035.51,1955-05-01,2015-02-15,4.07,—,Healthcare
318,,138678.78,2012-03-14,2014-10-21,4.79,Team player,Healthcare
319,yQUeo,109493.24,2007-04-17,2009-07-04,3.32,,Retail
320,jNsjTpZFtc,147133.94,1960-07-31,2012-06-07,3.61,—,Healthcare
321,SdAIBLve,45560.99,2013-01-15,2017-08-12,2.3,—,
322,ZFCLn,37671.58,1971-10-30,2009-04-24,excellent,Leadership potential,Healthcare
323,NcmiPVyAMv,58210.63,invalid_date,2023-07-16,3.74,Leadership potential,Healthcare
324,bAJCKw,140790.91,1976-01-12,2015-06-25,3.94,Good worker,IT
325,WqaYhgwgZ,133495.13,1991-08-04,2000-10-25,4.94,,Retail
326,IbMzed,73340.91,1998-03-23,2004-06-12,1.41,Team player,Retail
327,RMuvNrhAs,,1981-10-31,2024-08-10,,,Healthcare
328,ZagDKOfzp,95888.84,1996-04-29,2001-06-27,3.85,Needs improvement,IT
329,BQJ,47170.93,1966-08-17,2001-12-29,2.96,,Retail
330,DhU,131125.11,2009-04-01,unknown_date,1.98,Needs improvement,Finance
331,iJUyVisj,52903.42,1951-03-25,2003-09-05,2.08,Team player,
332,,54412.17,1969-10-11,2009-07-23,2.9,,Manufacturing
333,NNefA,83694.79,1959-07-29,2007-01-16,1.88,Good worker,Healthcare
334,qZJJr,45583.19,1954-02-13,unknown_date,2.51,Team player,IT
335,UhA,139512.51,2005-04-04,2008-07-28,1.34,—,
336,SzRaHW,106963.89,1962-08-25,2013-04-27,4.59,,Finance
337,ouGfpf,115240.58,1958-08-04,2001-10-21,4.38,Good worker,Education
338,DyuK,125254.74,1982-11-05,2016-01-12,3.12,Promising,Healthcare
339,KlVEcB,120842.33,1985-08-19,2001-08-18,4.44,Team player,Retail
340,ugXYnIKC,85724.48,invalid_date,2015-06-21,4.0,Needs improvement,Finance
341,fmW,,1968-06-16,2004-03-01,4.45,,IT
342,MoCNKCDDN,,1997-09-02,2002-06-15,1.23,—,
343,srBu,124416.44,1975-02-16,2006-09-06,1.15,Leadership potential,Retail
344,iTj,52038.85,invalid_date,2015-07-10,1.77,Good worker,IT
345,,72541.23,,2014-12-12,excellent,—,Education
346,wJIbeZ,44115.32,2016-08-22,,3.97,Good worker,Manufacturing
347,Nqp,138379.82,2010-11-28,2021-06-26,,—,Finance
348,,66252.77,1971-06-08,2016-03-26,1.79,Unreliable,Education
349,Oitr,38301.14,,2010-07-30,3.74,Needs improvement,IT
350,pFhlsIlHcU,113043.68,1966-10-08,2018-01-02,,Needs improvement,Retail
351,kcmiXnM,unknown,1990-03-26,2018-07-17,,Promising,Finance
352,pIGExvl,52224.15,2013-03-21,2014-06-20,average,Unreliable,Manufacturing
353,mEfghfkK,40207.87,1972-08-27,2010-01-05,1.62,Needs improvement,Retail
354,JkbbeL,80301.57,1960-05-13,2002-04-27,1.09,,Healthcare
355,bSAoUcD,33321.17,2013-09-24,2007-04-09,4.32,—,Retail
356,TxQoC,72892.42,invalid_date,2020-02-06,2.07,Promising,IT
357,TyfrSlbm,67872.17,1993-06-12,2013-05-23,2.95,Unreliable,
358,KtisbfQsk,55835.92,2003-03-03,2015-03-20,3.65,Team player,Healthcare
359,RLQs,109752.38,1952-11-16,2000-04-02,1.46,Good worker,Finance
360,cwcGXU,68699.28,1962-03-09,2003-04-17,2.62,Leadership potential,Manufacturing
361,vtMolwAFDh,60738.97,2001-11-25,2014-05-22,3.47,,IT
362,pDQJKTcw,47789.01,1978-12-21,2018-01-28,4.44,,
363,KUDX,108675.48,1963-04-01,2017-08-15,,Unreliable,Manufacturing
364,RQKRLTdvm,43376.59,1960-10-15,2004-04-29,excellent,,Healthcare
